ISSUER_ISIN,ANNEE,TRIMESTRE,AS_OF_DATE,IVA_COMPANY_RATING,IVA_PREVIOUS_RATING,IVA_RATING_TREND,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,delta_WEIGHTED_AVERAGE_SCORE,delta_ENVIRONMENTAL_PILLAR_SCORE,delta_SOCIAL_PILLAR_SCORE,delta_GOVERNANCE_PILLAR_SCORE
AEA000201011,2023,3,20240101,A,AA,-1.0,6.7,5.3,5.9,5.9,4.0,,,,
AEA000201011,2024,3,20241001,AA,A,1.0,8.0,5.7,9.1,5.8,4.1,0.40000000000000036,3.1999999999999993,-0.10000000000000053,0.09999999999999964
AEA000801018,2023,3,20240101,A,A,0.0,6.7,5.1,4.2,5.3,5.3,,,,
AEA000801018,2024,3,20240901,AA,A,1.0,7.7,5.6,6.1,5.6,5.6,0.5,1.8999999999999995,0.2999999999999998,0.2999999999999998
AEA001901015,2023,3,20240101,BBB,,,4.7,3.6,1.8,4.8,4.8,,,,
AEA001901015,2024,3,20240901,BBB,BBB,0.0,4.5,4.2,2.0,5.0,6.2,0.6000000000000001,0.19999999999999996,0.20000000000000018,1.4000000000000004
AEA002001013,2023,2,20240101,BBB,BBB,0.0,5.3,4.9,4.9,5.6,4.7,,,,
AEA002001013,2024,2,20240701,BBB,BBB,0.0,4.7,4.7,5.4,6.0,3.7,-0.20000000000000018,0.5,0.40000000000000036,-1.0
AEA002401015,2023,3,20240101,BBB,BBB,0.0,5.6,6.1,6.9,8.1,4.0,,,,
AEA002401015,2024,4,20241101,A,BBB,1.0,6.0,5.9,7.0,5.5,4.1,-0.1999999999999993,0.09999999999999964,-2.5999999999999996,0.09999999999999964
AEA003001012,2023,2,20240101,A,A,0.0,6.5,4.8,7.1,5.0,3.1,,,,
AEA003001012,2024,2,20240701,AA,A,1.0,8.4,5.5,7.1,5.8,4.0,0.7000000000000002,0.0,0.7999999999999998,0.8999999999999999
AEA006101017,2023,1,20240101,BB,BBB,-1.0,3.3,4.0,6.8,5.2,1.4,,,,
AEA006101017,2024,1,20240201,BB,BB,0.0,4.1,4.6,6.9,6.7,1.8,0.5999999999999996,0.10000000000000053,1.5,0.40000000000000013
AEA007301012,2024,4,20241101,B,,,2.6,4.9,7.2,4.1,3.0,,,,
AEA007501017,2023,3,20240101,AA,,,7.7,6.3,8.7,6.3,6.0,,,,
AEA007501017,2024,3,20240901,AA,AA,0.0,8.3,6.6,8.7,6.3,6.8,0.2999999999999998,0.0,0.0,0.7999999999999998
AEB000101011,2023,1,20240101,B,BB,-1.0,2.6,3.7,0.8,4.0,4.5,,,,
AEB000101011,2024,1,20240201,BB,B,1.0,3.3,3.7,0.1,3.8,5.0,0.0,-0.7000000000000001,-0.20000000000000018,0.5
AED000201015,2023,3,20240101,BBB,BBB,0.0,5.7,4.7,4.5,4.3,5.4,,,,
AED000201015,2024,3,20240901,A,BBB,1.0,6.4,5.0,4.4,4.6,5.8,0.2999999999999998,-0.09999999999999964,0.2999999999999998,0.39999999999999947
AED000601016,2023,1,20240101,CCC,CCC,0.0,1.2,3.1,7.7,0.4,5.0,,,,
AED000601016,2024,1,20240401,B,CCC,1.0,2.2,3.6,7.7,0.7,5.7,0.5,0.0,0.29999999999999993,0.7000000000000002
AED000701014,2023,2,20240101,BB,,,3.3,4.3,4.0,5.2,3.9,,,,
AED000701014,2024,2,20240701,BB,BB,0.0,3.0,4.3,4.4,4.9,3.6,0.0,0.40000000000000036,-0.2999999999999998,-0.2999999999999998
AEE000301011,2023,1,20240101,BB,B,1.0,3.1,3.8,4.8,3.4,3.5,,,,
AEE000301011,2024,1,20240301,BB,BB,0.0,4.0,4.2,4.9,4.2,3.7,0.40000000000000036,0.10000000000000053,0.8000000000000003,0.20000000000000018
AEE000401019,2023,3,20240101,A,A,0.0,6.3,5.7,9.0,7.8,2.8,,,,
AEE000401019,2024,3,20240901,A,A,0.0,6.4,5.8,10.0,7.6,3.0,0.09999999999999964,1.0,-0.20000000000000018,0.20000000000000018
AEE000801010,2023,4,20240101,BBB,BBB,0.0,4.5,4.2,3.3,5.5,2.6,,,,
AEE01135A222,2023,3,20240101,BB,,,3.7,4.2,2.8,3.2,6.4,,,,
AEE01135A222,2024,2,20240701,B,BB,-1.0,2.1,3.7,2.6,3.2,5.1,-0.5,-0.19999999999999973,0.0,-1.3000000000000007
AEE01376A248,2024,3,20240801,BBB,,,4.5,5.0,7.0,3.1,5.2,,,,
AEM001001019,2023,1,20240101,B,,,1.5,4.4,3.1,2.1,6.0,,,,
AEM001001019,2024,1,20240301,BB,B,1.0,4.0,3.9,2.7,1.3,5.7,-0.5000000000000004,-0.3999999999999999,-0.8,-0.2999999999999998
AEN000101016,2023,4,20240101,A,A,0.0,6.4,5.0,6.3,4.6,5.2,,,,
AEN000101016,2024,4,20241201,AA,A,1.0,7.7,5.5,8.6,5.3,4.5,0.5,2.3,0.7000000000000002,-0.7000000000000002
AEN000501017,2023,3,20240101,BB,,,3.1,4.3,3.4,4.4,5.4,,,,
AEN000501017,2024,3,20241001,BB,BB,0.0,3.3,4.4,3.4,4.4,5.7,0.10000000000000053,0.0,0.0,0.2999999999999998
AEN000601015,2023,1,20240101,BBB,BBB,0.0,5.5,4.6,4.1,4.8,4.5,,,,
AEN000601015,2024,1,20240301,BBB,BBB,0.0,5.5,4.6,3.1,4.0,6.1,0.0,-0.9999999999999996,-0.7999999999999998,1.5999999999999996
AN8068571086,2023,2,20240101,AA,AA,0.0,7.8,7.4,8.4,6.3,6.5,,,,
AN8068571086,2024,2,20240701,AA,AA,0.0,7.2,7.1,8.2,6.2,6.0,-0.3000000000000007,-0.20000000000000107,-0.09999999999999964,-0.5
AR0008564715,2024,2,20241201,A,A,0.0,6.8,5.3,7.2,5.5,4.3,,,,
AR0368367741,2024,1,20240301,AA,AA,0.0,7.9,5.6,9.5,4.5,6.0,,,,
AR0421372274,2023,1,20240101,A,BBB,1.0,5.8,3.4,4.4,4.9,0.9,,,,
AR0421372274,2024,1,20240401,BBB,A,-1.0,4.5,4.1,5.3,6.2,1.0,0.6999999999999997,0.8999999999999995,1.2999999999999998,0.09999999999999998
AR0423026076,2023,4,20240401,B,B,0.0,2.4,4.0,2.4,4.2,6.5,,,,
AR0423026076,2024,4,20241201,CCC,B,-1.0,0.7,3.0,1.6,3.8,4.8,-1.0,-0.7999999999999998,-0.40000000000000036,-1.7000000000000002
AR0450692584,2023,3,20240301,BB,BBB,-1.0,3.6,3.8,4.7,3.7,3.6,,,,
AR0450692584,2024,4,20241101,BB,BB,0.0,3.4,3.7,4.9,3.3,3.9,-0.09999999999999964,0.20000000000000018,-0.40000000000000036,0.2999999999999998
AR0481902168,2024,1,20240701,BBB,A,-1.0,4.5,4.2,5.1,6.2,1.5,,,,
AR0549885389,2023,4,20240301,B,B,0.0,2.4,4.0,2.4,4.2,6.5,,,,
AR0549885389,2024,4,20241201,CCC,B,-1.0,0.7,3.0,1.6,3.8,4.8,-1.0,-0.7999999999999998,-0.40000000000000036,-1.7000000000000002
AR0561943694,2024,2,20240901,BBB,,,4.5,4.2,3.4,4.0,4.8,,,,
AR0570775061,2024,2,20240601,AA,AA,0.0,7.6,5.8,6.5,5.4,5.9,,,,
AR0582792815,2023,3,20241001,BB,BBB,-1.0,3.6,3.9,4.9,3.7,3.8,,,,
AR0582792815,2024,4,20241101,BB,BB,0.0,3.4,3.7,4.9,3.3,3.9,-0.19999999999999973,0.0,-0.40000000000000036,0.10000000000000009
AR0586735992,2023,2,20240401,AAA,AAA,0.0,9.7,6.6,6.3,7.8,5.8,,,,
AR0586735992,2024,2,20240701,AAA,AAA,0.0,9.7,6.5,5.8,7.9,5.8,-0.09999999999999964,-0.5,0.10000000000000053,0.0
AR0725358730,2024,4,20241201,BB,BB,0.0,3.0,3.5,3.6,4.4,2.1,,,,
AR0732842957,2023,4,20241001,BBB,BBB,0.0,5.3,4.4,6.2,4.3,2.9,,,,
AR0732842957,2024,4,20241201,BB,BBB,-1.0,3.8,4.0,5.8,3.1,3.3,-0.40000000000000036,-0.40000000000000036,-1.1999999999999997,0.3999999999999999
AR0740853723,2023,3,20240101,BB,BBB,-1.0,3.6,3.8,4.7,3.7,3.6,,,,
AR0746654521,2023,3,20240201,BB,BBB,-1.0,3.6,3.8,4.7,3.7,3.6,,,,
AR0763826689,2024,2,20241101,BBB,,,4.8,4.3,5.2,3.4,5.4,,,,
AR0787207700,2024,3,20240801,CCC,CCC,0.0,0.5,3.2,2.5,1.7,5.1,,,,
AR0806991300,2024,2,20240501,BBB,,,4.8,4.3,5.2,3.4,5.4,,,,
AR0936072922,2023,4,20241001,AA,A,1.0,7.4,5.4,5.7,5.9,4.5,,,,
AR0936072922,2024,4,20241101,AA,AA,0.0,7.3,5.4,5.9,5.5,5.0,0.0,0.20000000000000018,-0.40000000000000036,0.5
AR0957586362,2023,3,20240301,AA,AA,0.0,7.9,5.7,6.7,5.0,6.4,,,,
AR0957586362,2024,3,20240801,AA,AA,0.0,7.2,5.5,6.7,5.0,5.9,-0.20000000000000018,0.0,0.0,-0.5
AR0996706922,2023,2,20240401,AA,A,1.0,7.4,5.8,6.3,5.3,5.9,,,,
ARALSA5600A8,2023,4,20240101,B,B,0.0,2.4,4.0,2.4,4.2,6.5,,,,
ARALSA5600C4,2023,4,20240101,B,B,0.0,2.4,4.0,2.4,4.2,6.5,,,,
ARBANS010010,2024,2,20240501,BB,,,3.4,3.7,1.9,3.8,4.2,,,,
ARBHIP010161,2023,3,20240101,BB,BB,0.0,2.9,3.5,3.4,4.1,2.5,,,,
ARBHIP010161,2024,4,20241101,BB,BB,0.0,3.0,3.5,3.6,4.4,2.1,0.0,0.20000000000000018,0.3000000000000007,-0.3999999999999999
ARBSFI5600B9,2023,3,20240101,AA,AA,0.0,7.9,5.7,6.7,5.0,6.4,,,,
ARCGCO5600V5,2023,3,20240101,CCC,B,-1.0,0.5,3.2,2.6,1.7,5.1,,,,
ARCNHI560042,2023,2,20240101,AAA,AAA,0.0,9.7,6.5,6.3,7.8,5.4,,,,
ARENOR010020,2024,2,20240501,BB,,,4.2,4.9,6.9,4.2,3.5,,,,
ARFUOP560034,2024,2,20240501,BB,,,3.4,3.7,6.0,4.0,0.7,,,,
ARGELI560027,2023,4,20240501,B,B,0.0,2.4,3.9,2.1,4.2,6.5,,,,
ARGELI560027,2024,4,20241201,CCC,B,-1.0,0.7,3.0,1.6,3.8,4.8,-0.8999999999999999,-0.5,-0.40000000000000036,-1.7000000000000002
ARGRSU300079,2024,2,20240501,BBB,,,4.5,4.2,3.8,4.0,4.8,,,,
ARJDCC5600P4,2023,2,20240101,AA,A,1.0,7.4,5.7,6.2,5.3,5.7,,,,
ARLOMA300018,2024,2,20240501,BBB,,,4.4,3.8,3.3,3.1,5.0,,,,
ARP125991090,2024,2,20240501,BBB,,,4.8,4.3,5.2,3.4,5.4,,,,
ARP2006N1025,2023,4,20240101,B,B,0.0,1.7,3.4,4.2,1.6,3.6,,,,
ARP2006N1025,2024,4,20241201,CCC,B,-1.0,0.5,3.0,3.2,1.6,3.6,-0.3999999999999999,-1.0,0.0,0.0
ARP2354W1188,2024,2,20240501,BB,,,3.6,4.6,4.4,3.1,5.4,,,,
ARP331091024,2024,2,20240501,BB,,,3.4,3.7,6.0,4.0,0.7,,,,
ARP432631215,2023,3,20240101,BBB,BBB,0.0,4.5,5.2,5.1,7.1,4.5,,,,
ARP432631215,2024,3,20240901,BB,BBB,-1.0,4.0,4.8,4.7,7.7,3.8,-0.40000000000000036,-0.39999999999999947,0.6000000000000005,-0.7000000000000002
ARP495251018,2023,3,20240101,BB,BBB,-1.0,3.6,3.8,4.7,3.7,3.6,,,,
ARP495251018,2024,4,20241101,BB,BB,0.0,3.4,3.7,4.9,3.3,3.9,-0.09999999999999964,0.20000000000000018,-0.40000000000000036,0.2999999999999998
ARP588091073,2024,2,20240501,CCC,,,0.0,3.2,4.1,4.2,1.6,,,,
ARP9028N1016,2023,4,20240101,B,,,2.1,4.1,9.7,3.7,4.1,,,,
ARP9028N1016,2024,4,20241201,B,B,0.0,2.4,4.1,9.0,5.4,2.0,0.0,-0.6999999999999993,1.7000000000000002,-2.0999999999999996
ARP9308R1039,2023,1,20240101,A,A,0.0,6.4,5.6,6.8,6.2,3.8,,,,
ARP9308R1039,2024,2,20240501,A,A,0.0,6.1,5.4,6.9,5.5,3.6,-0.1999999999999993,0.10000000000000053,-0.7000000000000002,-0.19999999999999973
ARP9897X1319,2023,4,20240101,BB,BB,0.0,3.2,4.4,4.2,5.4,3.7,,,,
ARP9897X1319,2024,3,20241001,BB,BB,0.0,3.0,4.3,4.8,5.4,2.7,-0.10000000000000053,0.5999999999999996,0.0,-1.0
ARRIAR5600E2,2024,2,20240901,A,,,6.7,5.7,5.0,6.8,6.4,,,,
ARRIAR5600F9,2024,2,20240501,A,,,6.7,5.7,5.0,6.8,6.4,,,,
ARROMB5600Q3,2023,4,20240101,BBB,BBB,0.0,5.3,4.6,6.2,4.3,3.4,,,,
ARROMB5600S9,2023,4,20240301,BBB,BBB,0.0,5.3,4.4,6.2,4.3,3.0,,,,
ARTCFA5600S6,2023,4,20240901,A,A,0.0,5.9,4.4,6.6,4.1,2.7,,,,
ARTCFA5600T4,2023,4,20240101,A,A,0.0,5.9,4.7,6.4,4.8,3.1,,,,
ARTECP560065,2023,4,20240101,B,B,0.0,2.3,3.6,3.6,5.2,2.4,,,,
ARTECP560073,2023,4,20240801,B,B,0.0,2.3,3.7,4.0,5.2,2.4,,,,
ARTECP560073,2024,4,20241201,B,B,0.0,1.6,3.4,3.4,5.0,2.1,-0.30000000000000027,-0.6000000000000001,-0.20000000000000018,-0.2999999999999998
AT000000STR1,2022,4,20240101,BBB,,,5.7,4.9,3.1,4.7,5.6,,,,
AT0000150123,2023,4,20240101,BB,BB,0.0,4.1,4.1,5.6,3.2,3.6,,,,
AT0000150123,2024,4,20241101,BB,BB,0.0,3.8,4.0,5.9,2.5,3.9,-0.09999999999999964,0.3000000000000007,-0.7000000000000002,0.2999999999999998
AT0000164397,2023,3,20240101,A,A,0.0,6.9,6.1,5.7,5.2,7.8,,,,
AT0000164397,2024,4,20241101,A,A,0.0,6.9,5.9,5.3,4.6,8.2,-0.1999999999999993,-0.40000000000000036,-0.6000000000000005,0.39999999999999947
AT0000326897,2023,3,20240101,AAA,AAA,0.0,9.5,7.0,6.7,7.1,7.1,,,,
AT0000326897,2024,3,20241001,AAA,AAA,0.0,9.3,7.0,7.2,6.7,7.2,0.0,0.5,-0.39999999999999947,0.10000000000000053
AT0000330253,2023,3,20240101,AA,A,1.0,7.9,5.7,7.6,5.4,5.4,,,,
AT0000330253,2024,3,20240901,AA,AA,0.0,7.7,5.6,7.3,5.0,5.9,-0.10000000000000053,-0.2999999999999998,-0.40000000000000036,0.5
AT0000330501,2023,4,20240101,AAA,AAA,0.0,10.0,7.2,10.0,7.1,6.2,,,,
AT0000330501,2024,4,20241201,AAA,AAA,0.0,10.0,7.5,10.0,7.1,7.1,0.2999999999999998,0.0,0.0,0.8999999999999995
AT0000341912,2023,1,20240101,BBB,BBB,0.0,4.8,4.8,7.2,3.2,6.3,,,,
AT0000341912,2024,2,20240501,BBB,BBB,0.0,5.6,5.2,8.0,3.7,6.5,0.40000000000000036,0.7999999999999998,0.5,0.20000000000000018
AT0000342274,2023,4,20240101,BBB,BBB,0.0,4.7,4.9,8.8,3.8,5.1,,,,
AT0000606306,2023,3,20240101,A,AA,-1.0,7.1,5.4,9.4,5.3,4.0,,,,
AT0000606306,2024,4,20241101,A,A,0.0,6.8,5.2,8.3,5.1,4.2,-0.20000000000000018,-1.0999999999999996,-0.20000000000000018,0.20000000000000018
AT0000609607,2023,1,20240101,AA,AA,0.0,7.5,5.9,3.9,5.6,6.6,,,,
AT0000609607,2024,1,20240301,AA,AA,0.0,7.5,5.9,3.9,5.7,6.5,0.0,0.0,0.10000000000000053,-0.09999999999999964
AT0000624705,2024,2,20240801,AA,A,1.0,7.3,5.4,4.2,4.4,7.5,,,,
AT0000625108,2022,4,20240601,A,A,0.0,7.1,5.3,4.1,4.4,7.2,,,,
AT0000625108,2024,3,20241001,AA,A,1.0,7.3,5.4,4.7,5.3,5.9,0.10000000000000053,0.6000000000000005,0.8999999999999995,-1.2999999999999998
AT0000625504,2024,2,20240801,BBB,BBB,0.0,5.5,4.6,3.3,3.7,6.6,,,,
AT0000641352,2023,4,20240101,A,AAA,-2.0,6.5,6.2,7.2,5.0,6.1,,,,
AT0000644505,2023,4,20240101,AA,AA,0.0,7.9,5.5,5.0,3.9,6.7,,,,
AT0000644505,2024,4,20241201,A,AA,0.0,6.4,5.0,5.0,3.1,5.8,-0.5,0.0,-0.7999999999999998,-0.9000000000000004
AT0000652011,2023,2,20240101,AA,AA,0.0,7.6,5.5,5.2,4.6,7.0,,,,
AT0000652011,2024,2,20240701,AA,AA,0.0,8.0,5.7,5.8,4.8,7.1,0.20000000000000018,0.5999999999999996,0.20000000000000018,0.09999999999999964
AT0000720008,2023,4,20240101,A,A,0.0,6.0,5.6,10.0,6.2,4.3,,,,
AT0000720008,2024,4,20241101,BBB,A,-1.0,4.8,5.1,10.0,5.2,4.5,-0.5,0.0,-1.0,0.20000000000000018
AT0000730007,2023,3,20240101,AA,AA,0.0,8.1,5.9,5.2,4.1,7.1,,,,
AT0000730007,2024,2,20240701,A,AA,-1.0,5.8,5.2,5.5,3.8,5.5,-0.7000000000000002,0.2999999999999998,-0.2999999999999998,-1.5999999999999996
AT0000741053,2023,3,20240101,AA,AA,0.0,7.8,6.9,7.4,5.4,6.5,,,,
AT0000741053,2024,3,20240801,AA,AA,0.0,7.3,6.6,7.2,6.4,5.8,-0.3000000000000007,-0.20000000000000018,1.0,-0.7000000000000002
AT0000743059,2023,3,20240101,AAA,AAA,0.0,9.0,6.8,6.7,8.1,5.9,,,,
AT0000743059,2024,3,20240901,AA,AAA,-1.0,8.0,6.5,6.4,8.1,5.4,-0.2999999999999998,-0.2999999999999998,0.0,-0.5
AT0000746409,2023,3,20240101,AAA,AAA,0.0,10.0,8.1,9.2,5.9,7.3,,,,
AT0000746409,2024,3,20240901,AAA,AAA,0.0,9.5,7.8,9.2,6.7,6.1,-0.2999999999999998,0.0,0.7999999999999998,-1.2000000000000002
AT0000758305,2023,3,20240101,A,A,0.0,6.2,5.3,3.8,5.3,6.3,,,,
AT0000758305,2024,3,20240901,A,A,0.0,5.9,5.2,3.3,5.6,5.9,-0.09999999999999964,-0.5,0.2999999999999998,-0.39999999999999947
AT0000785555,2023,1,20240101,A,BBB,1.0,6.7,5.8,3.6,4.2,8.1,,,,
AT0000785555,2024,1,20240301,AA,A,1.0,7.8,5.9,3.5,4.5,8.1,0.10000000000000053,-0.10000000000000009,0.2999999999999998,0.0
AT0000818802,2023,4,20240101,BB,BB,0.0,4.1,4.3,4.2,3.6,5.4,,,,
AT0000818802,2024,4,20241101,BB,BB,0.0,3.8,4.2,3.8,3.8,5.2,-0.09999999999999964,-0.40000000000000036,0.19999999999999973,-0.20000000000000018
AT0000821103,2023,1,20240101,BBB,BBB,0.0,4.8,4.8,7.2,3.2,6.3,,,,
AT0000821103,2024,2,20240501,BBB,BBB,0.0,5.6,5.2,8.0,3.7,6.5,0.40000000000000036,0.7999999999999998,0.5,0.20000000000000018
AT0000831706,2023,4,20240101,AAA,AAA,0.0,10.0,7.7,8.0,6.9,7.9,,,,
AT0000831706,2024,4,20241201,AAA,AAA,0.0,10.0,7.4,8.4,5.5,7.7,-0.2999999999999998,0.40000000000000036,-1.4000000000000004,-0.20000000000000018
AT0000908504,2023,4,20240101,BBB,BBB,0.0,4.7,4.9,8.8,3.8,5.1,,,,
AT0000937503,2023,4,20240101,A,A,0.0,7.0,5.1,5.0,4.7,5.6,,,,
AT0000946652,2023,3,20240101,A,A,0.0,5.9,6.4,7.0,8.7,4.5,,,,
AT0000946652,2024,3,20240801,A,A,0.0,6.6,6.8,7.0,7.4,6.2,0.39999999999999947,0.0,-1.299999999999999,1.7000000000000002
AT0000969985,2023,1,20240101,A,BBB,1.0,5.9,4.7,2.0,4.1,6.3,,,,
AT0000969985,2024,1,20240201,BBB,A,-1.0,5.1,4.7,3.1,3.8,6.3,0.0,1.1,-0.2999999999999998,0.0
AT0000A03MU2,2023,1,20240101,BBB,BBB,0.0,4.8,4.8,7.2,3.2,6.3,,,,
AT0000A03MU2,2024,2,20240501,BBB,BBB,0.0,5.6,5.2,8.0,3.7,6.5,0.40000000000000036,0.7999999999999998,0.5,0.20000000000000018
AT0000A06145,2023,1,20240101,BBB,BBB,0.0,4.8,4.8,7.2,3.2,6.3,,,,
AT0000A06145,2024,2,20240501,BBB,BBB,0.0,5.6,5.2,8.0,3.7,6.5,0.40000000000000036,0.7999999999999998,0.5,0.20000000000000018
AT0000A0A1U0,2023,1,20240101,BBB,BBB,0.0,4.8,4.8,7.2,3.2,6.3,,,,
AT0000A0A1U0,2024,2,20240501,BBB,BBB,0.0,5.6,5.2,8.0,3.7,6.5,0.40000000000000036,0.7999999999999998,0.5,0.20000000000000018
AT0000A0CL40,2023,1,20240101,A,AA,-1.0,6.0,4.7,4.5,4.9,4.6,,,,
AT0000A0CL40,2024,1,20240401,A,A,0.0,6.0,4.8,4.5,5.0,4.6,0.09999999999999964,0.0,0.09999999999999964,0.0
AT0000A0E9W5,2023,2,20240101,BBB,BBB,0.0,5.7,4.7,6.2,3.1,6.6,,,,
AT0000A0E9W5,2024,2,20240701,A,BBB,1.0,5.9,5.0,6.2,3.7,6.6,0.2999999999999998,0.0,0.6000000000000001,0.0
AT0000A0EX10,2023,2,20240101,AAA,AA,1.0,9.0,6.1,5.5,5.5,7.5,,,,
AT0000A0EX10,2024,2,20240601,AAA,AAA,0.0,9.5,6.4,6.9,6.0,6.9,0.3000000000000007,1.4000000000000004,0.5,-0.5999999999999996
AT0000A15TP1,2022,4,20240601,A,A,0.0,7.1,5.3,4.1,4.4,7.2,,,,
AT0000A15TP1,2024,3,20241001,AA,A,1.0,7.3,5.4,4.7,5.3,5.9,0.10000000000000053,0.6000000000000005,0.8999999999999995,-1.2999999999999998
AT0000A18XM4,2023,2,20240101,BBB,BBB,0.0,4.4,5.5,5.6,4.7,6.0,,,,
AT0000A18XM4,2024,2,20240701,BBB,BBB,0.0,5.6,5.5,5.7,4.0,6.5,0.0,0.10000000000000053,-0.7000000000000002,0.5
AT0000A1FGV0,2023,2,20240101,AA,AA,0.0,7.6,5.5,5.2,4.6,7.0,,,,
AT0000A1FGV0,2024,2,20240701,AA,AA,0.0,8.0,5.7,5.8,4.8,7.1,0.20000000000000018,0.5999999999999996,0.20000000000000018,0.09999999999999964
AT0000A1HER9,2023,2,20240101,AA,AA,0.0,7.6,5.5,5.2,4.6,7.0,,,,
AT0000A1HER9,2024,2,20240701,AA,AA,0.0,8.0,5.7,5.8,4.8,7.1,0.20000000000000018,0.5999999999999996,0.20000000000000018,0.09999999999999964
AT0000A1VKJ4,2023,4,20240101,BBB,BBB,0.0,4.7,4.9,8.8,3.8,5.1,,,,
AT0000A21KS2,2023,1,20240101,BBB,BBB,0.0,4.7,5.2,4.7,6.2,4.9,,,,
AT0000A21KS2,2024,1,20240401,BBB,BBB,0.0,5.3,5.7,6.5,4.7,5.7,0.5,1.7999999999999998,-1.5,0.7999999999999998
AT0000A24UY3,2023,3,20240101,AAA,AAA,0.0,9.0,6.8,6.7,8.1,5.9,,,,
AT0000A24UY3,2024,3,20240901,AA,AAA,-1.0,8.0,6.5,6.4,8.1,5.4,-0.2999999999999998,-0.2999999999999998,0.0,-0.5
AT0000A28J67,2023,2,20240101,AA,AA,0.0,7.6,5.5,5.2,4.6,7.0,,,,
AT0000A28J67,2024,2,20240701,AA,AA,0.0,8.0,5.7,5.8,4.8,7.1,0.20000000000000018,0.5999999999999996,0.20000000000000018,0.09999999999999964
AT0000A2EFR1,2023,3,20240101,A,AA,-1.0,7.1,5.4,9.4,5.3,4.0,,,,
AT0000A2EFR1,2024,4,20241101,A,A,0.0,6.8,5.2,8.3,5.1,4.2,-0.20000000000000018,-1.0999999999999996,-0.20000000000000018,0.20000000000000018
AT0000A2F1S7,2023,2,20240101,AA,AA,0.0,7.6,5.5,5.2,4.6,7.0,,,,
AT0000A2F1S7,2024,2,20240701,AA,AA,0.0,8.0,5.7,5.8,4.8,7.1,0.20000000000000018,0.5999999999999996,0.20000000000000018,0.09999999999999964
AT0000A2QBX2,2024,1,20240401,BB,,,3.6,3.8,5.3,3.2,4.3,,,,
AT0000A2QRY6,2023,2,20240101,AA,AA,0.0,7.6,5.5,5.2,4.6,7.0,,,,
AT0000A2QRY6,2024,2,20240701,AA,AA,0.0,8.0,5.7,5.8,4.8,7.1,0.20000000000000018,0.5999999999999996,0.20000000000000018,0.09999999999999964
AT0000A2RZL4,2023,2,20240101,AA,AA,0.0,7.6,5.5,5.2,4.6,7.0,,,,
AT0000A2RZL4,2024,2,20240701,AA,AA,0.0,8.0,5.7,5.8,4.8,7.1,0.20000000000000018,0.5999999999999996,0.20000000000000018,0.09999999999999964
AT0000A331D5,2023,2,20240101,BBB,BBB,0.0,4.5,4.3,3.8,3.9,5.0,,,,
AT0000A331D5,2024,2,20240501,BBB,BBB,0.0,4.5,4.2,3.6,3.7,5.4,-0.09999999999999964,-0.19999999999999973,-0.19999999999999973,0.40000000000000036
AT0000A3DNT1,2023,3,20240801,A,AA,-1.0,7.1,5.4,9.4,5.3,4.0,,,,
AT0000A3DNT1,2024,4,20241101,A,A,0.0,6.8,5.2,8.3,5.1,4.2,-0.20000000000000018,-1.0999999999999996,-0.20000000000000018,0.20000000000000018
AT0000A3EPA4,2024,2,20241101,BBB,BBB,0.0,5.6,5.5,5.7,4.0,6.5,,,,
AT0000APOST4,2023,3,20240101,AAA,AAA,0.0,9.7,6.9,9.7,5.4,7.3,,,,
AT0000APOST4,2024,3,20240901,AAA,AAA,0.0,8.6,6.8,9.8,5.9,6.4,-0.10000000000000053,0.10000000000000142,0.5,-0.8999999999999995
AT0000BAWAG2,2023,2,20240101,AAA,AA,1.0,9.0,6.1,5.5,5.5,7.5,,,,
AT0000BAWAG2,2024,2,20240601,AAA,AAA,0.0,9.5,6.4,6.9,6.0,6.9,0.3000000000000007,1.4000000000000004,0.5,-0.5999999999999996
AT000AGRANA3,2023,1,20240101,A,A,0.0,6.3,5.1,3.7,6.7,5.1,,,,
AT000B020920,2023,3,20240101,A,AA,-1.0,7.1,5.4,9.4,5.3,4.0,,,,
AT000B020920,2024,4,20241101,A,A,0.0,6.8,5.2,8.3,5.1,4.2,-0.20000000000000018,-1.0999999999999996,-0.20000000000000018,0.20000000000000018
AT000B049812,2023,3,20240101,AA,A,1.0,7.9,5.7,7.6,5.4,5.4,,,,
AT000B049812,2024,3,20240901,AA,AA,0.0,7.7,5.6,7.3,5.0,5.9,-0.10000000000000053,-0.2999999999999998,-0.40000000000000036,0.5
AT000B074018,2023,3,20240101,AA,A,1.0,7.9,5.7,7.6,5.4,5.4,,,,
AT000B074018,2024,3,20240901,AA,AA,0.0,7.7,5.6,7.3,5.0,5.9,-0.10000000000000053,-0.2999999999999998,-0.40000000000000036,0.5
AT000B078845,2023,1,20240101,B,B,0.0,1.7,3.0,3.7,3.1,2.5,,,,
AT000B078845,2024,1,20240401,B,B,0.0,2.4,3.3,2.2,3.3,3.7,0.2999999999999998,-1.5,0.19999999999999973,1.2000000000000002
AT000B116058,2024,2,20240901,AA,AA,0.0,8.0,6.0,5.8,4.8,7.9,,,,
AT000B116207,2024,2,20240801,AA,AA,0.0,8.0,5.9,5.8,4.8,7.8,,,,
