ISSUER_ISIN,ANNEE,TRIMESTRE,AS_OF_DATE,IVA_COMPANY_RATING,IVA_PREVIOUS_RATING,IVA_RATING_TREND,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,delta_WEIGHTED_AVERAGE_SCORE,delta_ENVIRONMENTAL_PILLAR_SCORE,delta_SOCIAL_PILLAR_SCORE,delta_GOVERNANCE_PILLAR_SCORE
US3138551086,2024,1,20240301,A,A,0.0,7.1,5.6,3.9,6.6,5.7,0.2999999999999998,0.10000000000000009,1.0,-0.2999999999999998
US3142111034,2023,3,20240101,BB,BB,0.0,3.6,4.6,8.0,5.5,3.1,,,,
US3142111034,2024,3,20240901,BB,BB,0.0,4.2,4.8,10.0,4.9,3.9,0.20000000000000018,2.0,-0.5999999999999996,0.7999999999999998
US31428X1063,2023,1,20240101,A,BBB,1.0,6.3,5.5,9.8,1.7,6.5,,,,
US31428X1063,2024,1,20240201,A,A,0.0,7.0,5.9,9.8,2.8,6.5,0.40000000000000036,0.0,1.0999999999999999,0.0
US314353AA14,2023,1,20240101,A,BBB,1.0,6.3,5.5,9.8,1.7,6.5,,,,
US314353AA14,2024,1,20240201,A,A,0.0,7.0,5.9,9.8,2.8,6.5,0.40000000000000036,0.0,1.0999999999999999,0.0
US31446YAB83,2023,4,20240101,A,BBB,1.0,6.0,5.9,6.3,6.5,5.1,,,,
US31488V1070,2024,2,20240901,AAA,AAA,0.0,9.0,6.8,3.9,7.6,7.7,,,,
US314890AA22,2023,2,20240101,AAA,AAA,0.0,10.0,7.2,4.1,9.2,7.7,,,,
US314890AA22,2024,2,20240501,AAA,AAA,0.0,9.0,6.9,3.9,7.6,7.9,-0.2999999999999998,-0.19999999999999973,-1.5999999999999996,0.20000000000000018
US3152932097,2023,3,20240101,B,B,0.0,2.7,4.0,3.3,3.7,4.9,,,,
US3152933087,2023,3,20240801,B,B,0.0,2.7,4.0,3.3,3.7,4.7,,,,
US3156161024,2023,2,20240101,A,A,0.0,6.5,4.9,2.9,4.1,7.1,,,,
US3156161024,2024,3,20240901,AA,A,0.0,8.4,6.1,5.2,5.9,6.8,1.1999999999999993,2.3000000000000003,1.8000000000000007,-0.2999999999999998
US31572Q8087,2023,1,20240101,B,BB,-1.0,1.8,3.7,4.6,2.9,4.7,,,,
US31620M1062,2023,2,20240101,AA,AA,0.0,7.8,6.1,10.0,5.1,7.2,,,,
US31620M1062,2024,2,20240701,AA,AA,0.0,7.3,5.7,10.0,4.8,6.6,-0.39999999999999947,0.0,-0.2999999999999998,-0.6000000000000005
US31620R3030,2023,3,20240101,BB,BB,0.0,3.7,4.3,3.2,3.8,5.0,,,,
US31620R3030,2024,2,20240701,BB,BB,0.0,3.8,4.4,5.8,3.3,5.4,0.10000000000000053,2.5999999999999996,-0.5,0.40000000000000036
US3167731005,2023,3,20240101,A,A,0.0,6.7,5.1,5.1,4.4,6.4,,,,
US3167731005,2024,3,20240901,A,A,0.0,6.6,5.1,5.1,4.6,5.9,0.0,0.0,0.1999999999999993,-0.5
US31677AAB08,2024,3,20241101,A,A,0.0,6.6,5.1,5.1,4.6,5.9,,,,
US31677QBT58,2023,3,20240101,A,A,0.0,6.7,5.1,5.1,4.4,6.4,,,,
US31677QBT58,2024,3,20240901,A,A,0.0,6.6,5.1,5.1,4.6,5.9,0.0,0.0,0.1999999999999993,-0.5
US31749JAW99,2023,3,20240201,BBB,BB,1.0,5.7,4.7,1.8,4.4,6.2,,,,
US31749JBV08,2023,3,20240301,BBB,BB,1.0,5.7,4.7,1.8,4.4,6.2,,,,
US31749JCU16,2023,3,20240401,BBB,BB,1.0,5.7,4.7,1.8,4.4,6.2,,,,
US31749JDV89,2023,3,20240501,BBB,BB,1.0,5.7,4.7,1.8,4.4,6.2,,,,
US31749JEX37,2023,3,20240601,BBB,BB,1.0,5.7,4.6,1.7,4.3,6.2,,,,
US31749JFT16,2023,3,20240701,BBB,BB,1.0,5.7,4.6,1.7,4.3,6.2,,,,
US31749JGW36,2023,3,20240801,BBB,BB,1.0,5.7,4.6,1.7,4.3,6.2,,,,
US31749JHV44,2023,3,20240901,BBB,BB,1.0,5.7,4.6,1.7,4.3,6.3,,,,
US31749JJT79,2023,3,20241001,BBB,BB,1.0,5.7,4.6,1.7,4.3,6.3,,,,
US31749JKX62,2024,4,20241101,BBB,BBB,0.0,5.7,4.7,2.0,4.3,6.5,,,,
US31749JLV97,2024,4,20241201,BBB,BBB,0.0,5.7,4.7,2.0,4.3,6.5,,,,
US31749KZU32,2023,3,20240101,BBB,BB,1.0,5.7,4.7,1.8,4.4,6.2,,,,
US31769PAB67,2023,4,20240101,BBB,BB,1.0,4.3,4.5,5.7,3.1,6.2,,,,
US31769PAB67,2024,4,20241101,BBB,BBB,0.0,5.2,4.8,5.4,3.5,6.6,0.2999999999999998,-0.2999999999999998,0.3999999999999999,0.39999999999999947
US31846B1089,2023,1,20240101,A,A,0.0,7.0,7.5,6.8,7.9,7.0,,,,
US31846B1089,2024,1,20240301,AA,A,1.0,7.8,6.5,6.8,6.0,7.0,-1.0,0.0,-1.9000000000000004,0.0
US31847R1023,2023,3,20240101,A,A,0.0,6.3,5.0,5.3,4.4,5.6,,,,
US31847R1023,2024,3,20241001,BBB,A,-1.0,5.2,4.9,5.5,4.5,5.2,-0.09999999999999964,0.20000000000000018,0.09999999999999964,-0.39999999999999947
US31851XJF06,2023,4,20240101,A,A,0.0,6.4,5.0,6.3,4.6,5.2,,,,
US31851XMJ80,2023,4,20240201,A,A,0.0,6.4,5.0,6.3,4.6,5.2,,,,
US31851XNL28,2023,4,20240401,A,A,0.0,6.4,5.1,6.3,4.6,5.3,,,,
US31851XNT53,2023,4,20240901,A,A,0.0,6.4,4.8,6.4,4.6,4.5,,,,
US31851XNT53,2024,4,20241201,AA,A,1.0,7.7,5.5,8.6,5.3,4.5,0.7000000000000002,2.1999999999999993,0.7000000000000002,0.0
US31851XPQ96,2023,4,20240501,A,A,0.0,6.4,5.1,6.3,4.6,5.3,,,,
US3189101062,2023,3,20240101,BB,BB,0.0,3.1,3.5,0.4,3.2,5.3,,,,
US3189101062,2024,3,20240901,BB,BB,0.0,3.0,3.5,0.4,3.4,4.9,0.0,0.0,0.19999999999999973,-0.39999999999999947
US3189161033,2023,3,20240101,B,B,0.0,2.4,3.2,0.9,3.1,4.3,,,,
US3189161033,2024,3,20240801,B,B,0.0,2.0,3.2,0.6,3.0,4.5,0.0,-0.30000000000000004,-0.10000000000000009,0.20000000000000018
US319042GM36,2023,3,20240101,BB,BB,0.0,3.6,3.8,0.0,4.1,4.8,,,,
US31931TGV17,2023,3,20240301,BB,BB,0.0,3.1,3.5,0.4,3.2,5.3,,,,
US31931TGY55,2023,3,20240701,BB,BB,0.0,3.1,3.5,0.6,3.2,5.1,,,,
US3193832041,2023,2,20240101,BB,BB,0.0,3.8,3.8,1.9,3.5,5.1,,,,
US3193832041,2024,3,20240901,BBB,BB,1.0,5.2,4.5,1.9,4.5,5.6,0.7000000000000002,0.0,1.0,0.5
US319439AA37,2023,3,20240101,A,A,0.0,6.7,5.1,5.1,4.4,6.4,,,,
US319439AA37,2024,3,20240901,A,A,0.0,6.6,5.1,5.1,4.6,5.9,0.0,0.0,0.1999999999999993,-0.5
US31946M1036,2023,2,20240101,BB,BB,0.0,3.3,3.7,0.5,3.7,5.1,,,,
US31946M1036,2024,2,20240601,B,BB,-1.0,2.5,3.3,0.5,3.3,4.4,-0.40000000000000036,0.0,-0.40000000000000036,-0.6999999999999993
US31946M1036,2024,3,20240901,BB,B,1.0,3.6,3.8,0.5,3.5,5.6,0.5,0.0,0.20000000000000018,1.1999999999999993
US3198291078,2023,2,20240101,BB,BB,0.0,3.3,3.6,1.0,2.5,6.3,,,,
US3198291078,2024,2,20240701,BB,BB,0.0,4.1,4.0,0.7,3.2,6.6,0.3999999999999999,-0.30000000000000004,0.7000000000000002,0.2999999999999998
US31982QAX79,2023,2,20240101,BB,BB,0.0,3.3,3.6,1.0,2.5,6.3,,,,
US31982QAY52,2024,2,20240701,BB,BB,0.0,4.1,4.0,0.7,3.2,6.6,,,,
US31983A1034,2023,1,20240101,B,B,0.0,2.6,3.4,1.2,3.0,5.0,,,,
