name,score_kind,annee,trimestre,isin,sector,industry,country,region,first_quartile,consensus,third_quartile,strength,delta
AKKA Technologies SE,G,2023,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2024,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,G,2025,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,37.4,37.4,48.5,89.0,0.0
AKKA Technologies SE,S,2022,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.3,42.3,42.3,100.0,
AKKA Technologies SE,S,2022,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.3,42.3,42.3,100.0,0.0
AKKA Technologies SE,S,2022,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.3,42.3,42.3,100.0,0.0
AKKA Technologies SE,S,2022,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,42.4,42.4,42.4,100.0,0.10000000000000142
AKKA Technologies SE,S,2023,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,-5.600000000000001
AKKA Technologies SE,S,2023,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2023,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2023,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,2,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,3,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2024,4,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
AKKA Technologies SE,S,2025,1,FR0004180537,Industrials,Engineering Consulting,France,Europe,36.8,36.8,55.0,81.8,0.0
Aalberts n.v.,E,2020,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,
Aalberts n.v.,E,2020,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,0.0
Aalberts n.v.,E,2020,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,0.0
Aalberts n.v.,E,2020,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,45.6,45.6,45.6,100.0,0.0
Aalberts n.v.,E,2021,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,4.799999999999997
Aalberts n.v.,E,2021,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,0.0
Aalberts n.v.,E,2021,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,0.0
Aalberts n.v.,E,2021,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,50.4,50.4,50.4,100.0,0.0
Aalberts n.v.,E,2022,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,35.9,35.9,47.0,88.9,-14.5
Aalberts n.v.,E,2022,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,35.9,35.9,47.0,88.9,0.0
Aalberts n.v.,E,2022,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,35.9,35.9,47.0,88.9,0.0
Aalberts n.v.,E,2022,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,35.9,35.9,47.0,88.9,0.0
Aalberts n.v.,E,2023,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,41.6,41.6,49.8,91.8,5.700000000000003
Aalberts n.v.,E,2023,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,40.9,40.9,48.4,92.5,-0.7000000000000028
Aalberts n.v.,E,2023,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,37.5,46.7,50.4,86.8,5.800000000000004
Aalberts n.v.,E,2023,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,36.9,44.7,47.7,89.0,-2.0
Aalberts n.v.,E,2024,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,37.7,47.0,49.6,84.5,2.299999999999997
Aalberts n.v.,E,2024,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,37.7,47.0,49.6,84.5,0.0
Aalberts n.v.,E,2024,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,37.7,47.0,49.6,84.5,0.0
Aalberts n.v.,E,2024,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,37.6,47.0,49.6,84.5,0.0
Aalberts n.v.,E,2025,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,37.6,47.0,49.6,84.5,0.0
Aalberts n.v.,ESG,2020,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,57.4,57.4,58.1,99.3,
Aalberts n.v.,ESG,2020,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,57.4,57.4,58.1,99.3,0.0
Aalberts n.v.,ESG,2020,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,57.4,57.4,58.1,99.3,0.0
Aalberts n.v.,ESG,2020,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,57.4,57.4,58.1,99.3,0.0
Aalberts n.v.,ESG,2021,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.7,58.7,59.4,99.3,1.3000000000000043
Aalberts n.v.,ESG,2021,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.7,58.7,59.4,99.3,0.0
Aalberts n.v.,ESG,2021,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.7,58.7,59.4,99.3,0.0
Aalberts n.v.,ESG,2021,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.7,58.7,59.4,99.3,0.0
Aalberts n.v.,ESG,2022,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,59.3,59.3,59.7,99.6,0.5999999999999943
Aalberts n.v.,ESG,2022,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,59.3,59.3,59.7,99.6,0.0
Aalberts n.v.,ESG,2022,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,59.3,59.3,59.7,99.6,0.0
Aalberts n.v.,ESG,2022,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,59.3,59.3,59.7,99.6,0.0
Aalberts n.v.,ESG,2023,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,61.5,61.5,63.3,98.2,2.200000000000003
Aalberts n.v.,ESG,2023,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,61.7,61.7,63.4,98.4,0.20000000000000284
Aalberts n.v.,ESG,2023,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,59.0,60.6,65.8,94.0,-1.1000000000000014
Aalberts n.v.,ESG,2023,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,59.4,60.9,65.0,94.0,0.29999999999999716
Aalberts n.v.,ESG,2024,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,60.8,61.6,65.0,94.9,0.7000000000000028
Aalberts n.v.,ESG,2024,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,60.8,61.6,65.0,94.9,0.0
Aalberts n.v.,ESG,2024,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,60.8,61.6,65.0,93.7,0.0
Aalberts n.v.,ESG,2024,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,60.8,61.7,69.2,90.0,0.10000000000000142
Aalberts n.v.,ESG,2025,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,60.8,61.7,69.2,90.0,0.0
Aalberts n.v.,G,2020,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,66.3,66.3,66.3,100.0,
Aalberts n.v.,G,2020,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,66.3,66.3,66.3,100.0,0.0
Aalberts n.v.,G,2020,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,66.3,66.3,66.3,100.0,0.0
Aalberts n.v.,G,2020,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,66.3,66.3,66.3,100.0,0.0
Aalberts n.v.,G,2021,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,67.3,67.3,67.3,100.0,1.0
Aalberts n.v.,G,2021,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,67.3,67.3,67.3,100.0,0.0
Aalberts n.v.,G,2021,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,67.3,67.3,67.3,100.0,0.0
Aalberts n.v.,G,2021,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,67.3,67.3,67.3,100.0,0.0
Aalberts n.v.,G,2022,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,62.0,62.0,62.0,100.0,-5.299999999999997
Aalberts n.v.,G,2022,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,62.0,62.0,62.0,100.0,0.0
Aalberts n.v.,G,2022,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,62.0,62.0,62.0,100.0,0.0
Aalberts n.v.,G,2022,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,62.0,62.0,62.0,100.0,0.0
Aalberts n.v.,G,2023,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,63.1,63.1,63.7,99.4,1.1000000000000014
Aalberts n.v.,G,2023,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,64.5,64.5,65.0,99.4,1.3999999999999986
Aalberts n.v.,G,2023,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,60.5,61.3,73.3,83.5,-3.200000000000003
Aalberts n.v.,G,2023,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,56.5,68.9,73.9,83.4,7.6000000000000085
Aalberts n.v.,G,2024,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.7,69.7,80.2,82.7,0.7999999999999972
Aalberts n.v.,G,2024,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.7,69.7,80.2,82.7,0.0
Aalberts n.v.,G,2024,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.7,70.9,80.2,82.7,1.2000000000000028
Aalberts n.v.,G,2024,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.8,71.0,80.2,82.8,0.09999999999999432
Aalberts n.v.,G,2025,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,58.8,71.0,80.2,82.8,0.0
Aalberts n.v.,S,2020,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.0,51.0,51.0,100.0,
Aalberts n.v.,S,2020,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.0,51.0,51.0,100.0,0.0
Aalberts n.v.,S,2020,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.0,51.0,51.0,100.0,0.0
Aalberts n.v.,S,2020,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.0,51.0,51.0,100.0,0.0
Aalberts n.v.,S,2021,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,52.2,52.2,52.2,100.0,1.2000000000000028
Aalberts n.v.,S,2021,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,52.2,52.2,52.2,100.0,0.0
Aalberts n.v.,S,2021,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,52.2,52.2,52.2,100.0,0.0
Aalberts n.v.,S,2021,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,52.2,52.2,52.2,100.0,0.0
Aalberts n.v.,S,2022,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,53.1,53.1,53.1,100.0,0.8999999999999986
Aalberts n.v.,S,2022,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,53.1,53.1,53.1,100.0,0.0
Aalberts n.v.,S,2022,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,53.1,53.1,53.1,100.0,0.0
Aalberts n.v.,S,2022,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,53.1,53.1,53.1,100.0,0.0
Aalberts n.v.,S,2023,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,56.6,56.6,57.9,98.7,3.5
Aalberts n.v.,S,2023,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,55.1,55.1,56.2,98.8,-1.5
Aalberts n.v.,S,2023,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,52.6,54.1,57.1,95.3,-1.0
Aalberts n.v.,S,2023,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,49.5,52.8,54.4,95.1,-1.3000000000000043
Aalberts n.v.,S,2024,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.4,54.5,56.4,91.2,1.7000000000000028
Aalberts n.v.,S,2024,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.4,54.5,56.4,91.2,0.0
Aalberts n.v.,S,2024,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.4,54.5,56.4,91.2,0.0
Aalberts n.v.,S,2024,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.4,54.5,56.4,91.2,0.0
Aalberts n.v.,S,2025,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,51.4,54.5,56.4,91.2,0.0
Aalberts n.v.,SI,2023,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,0.313,0.75,1.0,37.5,
Aalberts n.v.,SI,2023,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,0.313,0.75,1.0,37.5,0.0
Aalberts n.v.,SI,2024,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,0.036,0.571,1.0,7.1,-0.17900000000000005
Aalberts n.v.,SI,2024,2,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,0.034,0.552,0.966,10.3,-0.018999999999999906
Aalberts n.v.,SI,2024,3,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,0.034,0.552,0.966,10.3,0.0
Aalberts n.v.,SI,2024,4,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,0.026,0.474,0.974,10.5,-0.07800000000000007
Aalberts n.v.,SI,2025,1,NL0000852564,Industrials,Piping and Plumbing Equipment,Netherlands,Europe,0.026,0.474,0.974,10.5,0.0
Abb ltd,E,2020,1,CH0012221716,Industrials,,Switzerland,Europe,69.6,69.6,76.2,93.4,
Abb ltd,E,2020,2,CH0012221716,Industrials,,Switzerland,Europe,69.6,69.6,76.2,93.4,0.0
