isin,name
AT0000837307,Zumtobel group ag
AT0000818802,Do and co aktiengesellschaft
GB0007973794,Serco group plc
GB0004866223,Keller group plc
IE00BLS09M33,Pentair public limited company
CH0030486770,Daetwyler holding ag
GB0006215205,Mobico group plc
CH0012221716,Abb ltd
DE000A0LR936,Steico se
FR0010340141,Aeroports de paris sa
IT0004176001,Prysmian s.p.a.
SE0003756758,Sdiptech ab (publ)
DK0060655629,Dfds a/s
IE00BYTBXV33,Ryanair holdings public limited company
DE0006916604,Pfeiffer vacuum technology ag
GB0008475088,Robert walters plc
GB00BVFNZH21,Rotork p.l.c.
DE0005093108,Amadeus fire ag
GB0009697037,Babcock international group plc
NO0003110603,Bonheur asa
SE0007158829,Coor service management holding ab
DE000LED4000,Osram licht ag
DE0006305006,Deutz aktiengesellschaft
PTCTT0AM0001,Ctt correios de portugal- s.a.
FR0010929125,Id logistics sas
DE0005407506,Centrotec se
DE0007667107,Vossloh aktiengesellschaft
NO0005806802,Veidekke asa
BE0003764785,Ackermans and van haaren nv
NL0000395903,Wolters kluwer n.v.
DE0005313506,Energiekontor ag
FR0012757854,Spie sa
GB0007958233,Senior plc
FR0000074148,Assystem sa
FR0000066755,Haulotte group sa
CH0239229302,Sfs group ag
IT0005176406,Enav s.p.a.
FI0009013403,Kone oyj
IE00BDVJJQ56,Nvent electric public limited company
SE0000105199,Haldex AB (publ)
GB0000536739,Ashtead group public limited company
SE0009664253,Instalco AB (publ)
DK0060907293,Nilfisk holding a/s
BE0003883031,Compagnie dentreprises cfe sa
JE00BJVNSS43,Ferguson plc
IT0004931058,Maire tecnimont s.p.a.
FR0000064271,Stef sa
IT0005411209,Gvs s.p.a.
SE0002133975,Systemair AB (publ)
SE0007185418,Nobina AB (publ)
CH0030170408,Geberit ag
DE000WACK012,Wacker neuson se
GB0031638363,Intertek group plc
FI4000440664,Neles Oyj
FR0010533075,Getlink s.e.
GB00BZC0LP49,Luceco plc
IT0001006128,Aeroporto guglielmo marconi di bologna spa
SE0007100581,Assa abloy ab
DE0007231326,Sixt se
ES0122060314,Fomento de construcciones y contratas- s.a.
DE0005909006,Bilfinger se
SE0011090547,Beijer alma ab
FR0000032658,Synergie se
SE0013747870,Electrolux professional ab (publ)
CH0002497458,SGS SA
FR0000120503,Bouygues sa
FI4000074984,Valmet oyj
FR0013333432,Thermador groupe sa
DE0006335003,Krones aktiengesellschaft
CH0025536027,Burckhardt compression holding ag
IT0004967292,F.i.l.a - fabbrica italiana lapis ed affini - societa per azioni
DK0010268606,Vestas Wind Systems A/S
IT0003124663,Prima Industrie SpA
AT0000APOST4,Oesterreichische post aktiengesellschaft
GRS393503008,Mytilineos s.a.
AT00000FACC2,Facc ag
CH0010702154,Komax holding ag
GB0004657408,Mitie group plc
GB0002634946,Bae systems plc
NO0005668905,Tomra Systems ASA
FR0000121972,Schneider electric se
GB00B0130H42,Itm power plc
IT0005331019,Carel industries s.p.a.
DE000A0S8488,Hamburger hafen und logistik aktiengesellschaft
GB00B5NR1S72,Restore plc
CH0038388911,Sulzer ag
GB0008085614,Morgan sindall group plc
PLBUDMX00013,Budimex spolka akcyjna
GB00B27YGJ97,Severfield plc
NL0010801007,Imcd n.v.
GB0007980591,Bp p.l.c.
FR0000121725,Dassault Aviation SA
NL0000852580,Royal Boskalis Westminster N.V.
ES0105229001,Prosegur cash- s.a.
ES0105513008,Soltec power holdings s.a.
BE0974268972,Bpost sa
SE0002367797,Hexatronic Group AB (publ)
LU1704650164,Befesa s.a.
LU1066226637,Stabilus S.A.
DE000HAG0005,Hensoldt ag
DE0007193500,Koenig and bauer ag
CH0024638212,Schindler Holding AG
NO0010081235,Nel asa
GB00BYYTFB60,HomeServe plc
SE0005999836,Afry ab
AT0000730007,Andritz ag
GB00BFMBMT84,Sensata technologies holding plc
SE0003950864,Concentric ab
DE000A0D6554,Nordex se
ES0118900010,Ferrovial S.A.
ES0143416115,Siemens Gamesa Renewable Energy S.A.
GB0008883927,Trifast plc
IT0005388266,Salcef group spa
AT000000STR1,Strabag se
DE000A1H8BV3,Norma group se
NO0010571698,Wilh. wilhelmsen holding asa
CH0244017502,Bystronic ag
SE0005677135,Bufab ab (publ)
GB00BD8DR117,Biffa plc
FR0000066672,Gl events s.a.
GB00B082RF11,Rentokil initial plc
CH0311864901,Vat group ag
FR0000125007,Compagnie de saint-gobain sa
IT0001078911,Interpump group s.p.a.
CH0003671440,Rieter holding ag
CH0319416936,Flughafen zuerich ag
NO0010571680,Wallenius wilhelmsen asa
FI0009005870,Konecranes abp
DK0060083210,Dampskibsselskabet norden a/s
SE0010048884,Fagerhult group ab
GB00B0KM9T71,Sthree plc
GB00BMMV6B79,Clipper Logistics plc
NL0006237562,Arcadis n.v.
DE000A0JBPG2,Pne ag
GB00BKRC5K31,Genuit group plc
PLBNFTS00018,Benefit systems spolka akcyjna
ES0121975009,Construcciones y auxiliar de ferrocarriles- s.a.
DE000DTR0CK8,Daimler truck holding ag
JE00BN574F90,Wizz air holdings plc
NL0009739416,Postnl n.v.
GB00BNK03D49,Luxfer holdings plc
FR0000033904,Jacquet metals sa
DE0006602006,Gea group aktiengesellschaft
FR0000031122,Air France-KLM SA
FR0000032278,Latécoère S.A.
SE0015962477,Nolato aktiebolag
GB0009692319,Wilmington plc
IE00BFRT3W74,Allegion public limited company
NO0003043309,Kongsberg gruppen asa
ES0105027009,Logista integral sa
GB0004915632,Kier group plc
GB00B7KR2P84,Easyjet plc
GB00B29H4253,Tyman plc
NO0010890312,Aker Offshore Wind AS
DE000JST4000,Jost werke se
LU2290522684,Inpost s.a.
DE000A0TGJ55,Varta aktiengesellschaft
GB0006963689,Porvair plc
GB00BZ1G4322,Melrose Industries PLC
SE0015988019,Nibe industrier ab
SE0000695876,Alfa laval ab
DK0061141215,Ntg nordic transport group a/s
SE0000106205,Peab ab
FR0006174348,Bureau veritas sa
SE0006425815,Powercell sweden ab (publ)
FR0000039620,Mersen sa
DE000KBX1006,Knorr-bremse aktiengesellschaft
DE000A0D9PT0,Mtu aero engines ag
ES0105022000,Applus services- s.a.
FI4000081138,Lehto group oyj
CH0212255803,Burkhalter holding ag
NL0000352565,Fugro N.V.
FR0000051807,Teleperformance se
DE000A2DAM03,Aumann ag
DK0010287663,Nkt a/s
JE00BJJN4441,Clarivate plc
SE0011166933,Epiroc AB (publ)
FR0000053381,Derichebourg sa
GB00B45C9X44,Chemring group plc
GB00BVFCZV34,Rws holdings plc
GB00BN3ZZ526,Volution group plc
NO0010196140,Norwegian air shuttle asa
FR0000125486,Vinci sa
NL0000235190,Airbus se
IE00B8KQN827,Eaton corporation public limited company
FI0009013429,Cargotec oyj
ES0137650018,Fluidra s.a.
DE000ENER6Y0,Siemens energy ag
